Year,Agency ID,Agency Name,Program Name,County,Calculation Method,Total Children Served, Expenditure ,Population
2015,DOH,Department of Health,AIDS Prevention,Anderson,Actual,95,$100 ,"75,456"
2015,DOH,Department of Health,Child Health,Anderson,Actual,1396,"$16,900 ","75,456"
2015,DOH,Department of Health,Family Planning,Anderson,Actual,316,"$2,200 ","75,456"
2015,DOH,Department of Health,Sexually Transmitted Diseases,Anderson,Actual,304,$600 ,"75,456"
2015,DOH,Department of Health,TennCare Advocacy,Anderson,Actual,2394,"$88,000 ","75,456"
2015,DOH,Department of Health,TennCare EPSD&T Screening,Anderson,Actual,789,"$13,700 ","75,456"
2015,DOH,Department of Health,WIC Breastfeeding Promotion,Anderson,Actual,181,$100 ,"75,456"
2015,DOH,Department of Health,WIC Office Visit,Anderson,Actual,2017,"$21,700 ","75,456"
2015,DOH,Department of Health,Women's Health,Anderson,Actual,99,$200 ,"75,456"
2015,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,167,*,"75,456"
2015,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Actual,5375,*,"75,456"
2015,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,580,*,"75,456"
2015,GELF,Governor's Books from Birth Foundation,Dolly Parton's Imagination Library,Anderson,Estimate,2570,"$32,486 ","75,456"
2015,TAC,Tennessee Arts Commission,Community Learning (AE-CL),Anderson,Actual,47,"$1,500 ","75,456"
2015,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Actual,111,"$16,500 ","75,456"
2015,TCCY,Tennessee Commission on Children and Youth,Juvenile Justice-Reimbursement Accounts,Anderson,Estimate,22,"$2,025 ","75,456"
2015,THEC,Tennessee Higher Education Commission,GEAR UP TN,Anderson,Estimate,0,"$198,100 ","75,456"
2015,TSM,Tennessee State Museum,Public Programs,Anderson,Estimate,68,"$2,177 ","75,456"
2015,TSM,Tennessee State Museum,Public Programs,Anderson,Estimate,68,"$1,639 ","75,456"
2015,DOE,Department of Education,Internet Connectivity,Anderson,Actual,11808,"$34,522 ","75,456"
2015,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,262,"$253,571 ","75,456"
2015,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Actual,5053,"$191,977 ","75,456"
2015,DOE,Department of Education,CCTE Perkins Incentive Funds,Anderson,Estimate,3099,"$2,500 ","75,456"
2015,DOE,Department of Education,CCTE AP/SIC Grant,Anderson,Actual,41,"$2,510 ","75,456"
2015,DOE,Department of Education,Enrichment and Remediation,Anderson,Actual,5581,"$218,385 ","75,456"
2015,DOE,Department of Education,Coordinated School Health,Anderson,Actual,15642,"$250,000 ","75,456"
2015,DOE,Department of Education,"ESEA-Title I, Part A-School Improvement",Anderson,Actual,11559,"$2,804,088 ","75,456"
2015,DOE,Department of Education,ESEA-Title II-A-Teacher Quality,Anderson,Actual,12551,"$453,059 ","75,456"
2015,DOE,Department of Education,ESEA-Title III English Language Acquisition,Anderson,Actual,112,"$15,588 ","75,456"
2015,DOE,Department of Education,Family Resource Center (FRC),Anderson,Estimate,4020,"$88,835 ","75,456"
2015,DOE,Department of Education,"IDEA, Part B  (611)",Anderson,Actual,1901,"$2,684,045 ","75,456"
2015,DOE,Department of Education,IDEA-Part b-Preschool,Anderson,Actual,189,"$124,660 ","75,456"
2015,DOE,Department of Education,SNP Afterschool Snack Program,Anderson,Estimate,449,"$37,630 ","75,456"
