Year,County,Value,LastReportedDate
2012,Anderson,44154,10/23/18
2012,Bedford,39635,10/23/18
2012,Benton,33663,10/23/18
2012,Bledsoe,31388,10/23/18
2012,Blount,46347,10/23/18
2012,Bradley,40614,10/23/18
2012,Campbell,31312,10/23/18
2012,Cannon,40998,10/23/18
2012,Carroll,35595,10/23/18
2012,Carter,32908,10/23/18
2012,Cheatham,53363,10/23/18
2012,Chester,42097,10/23/18
2012,Claiborne,33568,10/23/18
2012,Clay,30184,10/23/18
2012,Cocke,29764,10/23/18
2012,Coffee,38151,10/23/18
2012,Crockett,37601,10/23/18
2012,Cumberland,37963,10/23/18
2012,Davidson,46676,10/23/18
2012,Decatur,34146,10/23/18
2012,DeKalb,36713,10/23/18
2012,Dickson,45109,10/23/18
2012,Dyer,38167,10/23/18
2012,Fayette,56297,10/23/18
2012,Fentress,27773,10/23/18
2012,Franklin,41625,10/23/18
2012,Gibson,36981,10/23/18
2012,Giles,38014,10/23/18
2012,Grainger,33185,10/23/18
2012,Greene,35613,10/23/18
2012,Grundy,26644,10/23/18
2012,Hamblen,39316,10/23/18
2012,Hamilton,46544,10/23/18
2012,Hancock,22205,10/23/18
2012,Hardeman,31963,10/23/18
2012,Hardin,33044,10/23/18
2012,Hawkins,36419,10/23/18
2012,Haywood,32827,10/23/18
2012,Henderson,37784,10/23/18
2012,Henry,36593,10/23/18
2012,Hickman,42330,10/23/18
2012,Houston,34595,10/23/18
2012,Humphreys,41943,10/23/18
2012,Jackson,33363,10/23/18
2012,Jefferson,38800,10/23/18
2012,Johnson,30063,10/23/18
2012,Knox,47270,10/23/18
2012,Lake,26212,10/23/18
2012,Lauderdale,32987,10/23/18
2012,Lawrence,36663,10/23/18
2012,Lewis,33956,10/23/18
2012,Lincoln,40904,10/23/18
2012,Loudon,49602,10/23/18
2012,Macon,35452,10/23/18
2012,Madison,42348,10/23/18
2012,Marion,39817,10/23/18
2012,Marshall,40687,10/23/18
2012,Maury,45603,10/23/18
2012,McMinn,38944,10/23/18
2012,Mcnairy,33066,10/23/18
2012,Meigs,33492,10/23/18
2012,Monroe,36430,10/23/18
2012,Montgomery,49459,10/23/18
2012,Moore,44977,10/23/18
2012,Morgan,37522,10/23/18
2012,Obion,40516,10/23/18
2012,Overton,34119,10/23/18
2012,Perry,32101,10/23/18
2012,Pickett,34255,10/23/18
2012,Polk,37235,10/23/18
2012,Putnam,34107,10/23/18
2012,Rhea,36470,10/23/18
2012,Roane,43017,10/23/18
2012,Robertson,52588,10/23/18
2012,Rutherford,55105,10/23/18
2012,Scott,29161,10/23/18
2012,Sequatchie,33181,10/23/18
2012,Sevier,43300,10/23/18
2012,Shelby,46251,10/23/18
2012,Smith,44116,10/23/18
2012,Stewart,40200,10/23/18
2012,Sullivan,40025,10/23/18
2012,Sumner,55560,10/23/18
2012,Tennessee,44140,10/23/18
2012,Tipton,51847,10/23/18
2012,Trousdale,43613,10/23/18
2012,Unicoi,35415,10/23/18
2012,Union,33456,10/23/18
2012,VanBuren,31940,10/23/18
2012,Warren,34008,10/23/18
2012,Washington,42995,10/23/18
2012,Wayne,35377,10/23/18
2012,Weakley,35509,10/23/18
2012,White,34717,10/23/18
2012,Williamson,91146,10/23/18
2012,Wilson,61353,10/23/18
2013,Anderson,43620,10/23/18
2013,Bedford,40759,10/23/18
2013,Benton,33033,10/23/18
2013,Bledsoe,33443,10/23/18
2013,Blount,45991,10/23/18
2013,Bradley,41083,10/23/18
2013,Campbell,31943,10/23/18
2013,Cannon,40689,10/23/18
2013,Carroll,35049,10/23/18
2013,Carter,31842,10/23/18
2013,Cheatham,52446,10/23/18
2013,Chester,41875,10/23/18
2013,Claiborne,33229,10/23/18
2013,Clay,29727,10/23/18
2013,Cocke,30573,10/23/18
2013,Coffee,37618,10/23/18
2013,Crockett,36066,10/23/18
2013,Cumberland,37188,10/23/18
2013,Davidson,47335,10/23/18
2013,Decatur,36258,10/23/18
2013,DeKalb,37482,10/23/18
2013,Dickson,44318,10/23/18
2013,Dyer,38953,10/23/18
2013,Fayette,56618,10/23/18
2013,Fentress,29192,10/23/18
2013,Franklin,42904,10/23/18
2013,Gibson,38343,10/23/18
2013,Giles,38495,10/23/18
2013,Grainger,32364,10/23/18
2013,Greene,35545,10/23/18
2013,Grundy,26814,10/23/18
2013,Hamblen,39596,10/23/18
2013,Hamilton,46702,10/23/18
2013,Hancock,23892,10/23/18
2013,Hardeman,30973,10/23/18
2013,Hardin,33622,10/23/18
2013,Hawkins,37357,10/23/18
2013,Haywood,34542,10/23/18
2013,Henderson,38280,10/23/18
2013,Henry,36950,10/23/18
2013,Hickman,39581,10/23/18
2013,Houston,35271,10/23/18
2013,Humphreys,42846,10/23/18
2013,Jackson,33386,10/23/18
2013,Jefferson,39745,10/23/18
2013,Johnson,29609,10/23/18
2013,Knox,47694,10/23/18
2013,Lake,27115,10/23/18
2013,Lauderdale,32326,10/23/18
2013,Lawrence,37368,10/23/18
2013,Lewis,34397,10/23/18
2013,Lincoln,41571,10/23/18
2013,Loudon,51074,10/23/18
2013,Macon,35306,10/23/18
2013,Madison,41617,10/23/18
2013,Marion,41268,10/23/18
2013,Marshall,42291,10/23/18
2013,Maury,45336,10/23/18
2013,McMinn,39410,10/23/18
2013,Mcnairy,33452,10/23/18
2013,Meigs,35150,10/23/18
2013,Monroe,37595,10/23/18
2013,Montgomery,49617,10/23/18
2013,Moore,46170,10/23/18
2013,Morgan,37631,10/23/18
2013,Obion,39467,10/23/18
2013,Overton,34604,10/23/18
2013,Perry,32845,10/23/18
2013,Pickett,35184,10/23/18
2013,Polk,39074,10/23/18
2013,Putnam,33709,10/23/18
2013,Rhea,36741,10/23/18
2013,Roane,42223,10/23/18
2013,Robertson,52792,10/23/18
2013,Rutherford,55401,10/23/18
2013,Scott,28401,10/23/18
2013,Sequatchie,36434,10/23/18
2013,Sevier,43649,10/23/18
2013,Shelby,46250,10/23/18
2013,Smith,42383,10/23/18
2013,Stewart,39781,10/23/18
2013,Sullivan,39479,10/23/18
2013,Sumner,55509,10/23/18
2013,Tennessee,44298,10/23/18
2013,Tipton,52423,10/23/18
2013,Trousdale,43034,10/23/18
2013,Unicoi,32292,10/23/18
2013,Union,34399,10/23/18
2013,VanBuren,33547,10/23/18
2013,Warren,34641,10/23/18
2013,Washington,42075,10/23/18
2013,Wayne,33198,10/23/18
2013,Weakley,35273,10/23/18
2013,White,34474,10/23/18
2013,Williamson,89779,10/23/18
2013,Wilson,60390,10/23/18
2014,Anderson,44199,10/23/18
2014,Bedford,40989,10/23/18
2014,Benton,34087,10/23/18
2014,Bledsoe,34450,10/23/18
2014,Blount,46518,10/23/18
2014,Bradley,41575,10/23/18
2014,Campbell,32616,10/23/18
2014,Cannon,39438,10/23/18
2014,Carroll,36168,10/23/18
2014,Carter,32754,10/23/18
2014,Cheatham,52138,10/23/18
2014,Chester,41028,10/23/18
2014,Claiborne,32884,10/23/18
2014,Clay,29812,10/23/18
2014,Cocke,30888,10/23/18
2014,Coffee,39656,10/23/18
2014,Crockett,37298,10/23/18
2014,Cumberland,38350,10/23/18
2014,Davidson,47434,10/23/18
2014,Decatur,37219,10/23/18
2014,DeKalb,37409,10/23/18
2014,Dickson,45056,10/23/18
2014,Dyer,41426,10/23/18
2014,Fayette,55623,10/23/18
2014,Fentress,29784,10/23/18
2014,Franklin,42663,10/23/18
2014,Gibson,37460,10/23/18
2014,Giles,38739,10/23/18
2014,Grainger,34566,10/23/18
2014,Greene,35860,10/23/18
2014,Grundy,26856,10/23/18
2014,Hamblen,38600,10/23/18
2014,Hamilton,47880,10/23/18
2014,Hancock,26528,10/23/18
2014,Hardeman,30260,10/23/18
2014,Hardin,34084,10/23/18
2014,Hawkins,37432,10/23/18
2014,Haywood,33922,10/23/18
2014,Henderson,38696,10/23/18
2014,Henry,38694,10/23/18
2014,Hickman,38032,10/23/18
2014,Houston,38637,10/23/18
2014,Humphreys,41152,10/23/18
2014,Jackson,33500,10/23/18
2014,Jefferson,41426,10/23/18
2014,Johnson,31711,10/23/18
2014,Knox,47543,10/23/18
2014,Lake,29214,10/23/18
2014,Lauderdale,31185,10/23/18
2014,Lawrence,37371,10/23/18
2014,Lewis,36114,10/23/18
2014,Lincoln,41328,10/23/18
2014,Loudon,50619,10/23/18
2014,Macon,34156,10/23/18
2014,Madison,42069,10/23/18
2014,Marion,40998,10/23/18
2014,Marshall,41822,10/23/18
2014,Maury,46565,10/23/18
2014,McMinn,39644,10/23/18
2014,Mcnairy,32214,10/23/18
2014,Meigs,33061,10/23/18
2014,Monroe,37202,10/23/18
2014,Montgomery,50693,10/23/18
2014,Moore,43393,10/23/18
2014,Morgan,38003,10/23/18
2014,Obion,40327,10/23/18
2014,Overton,34913,10/23/18
2014,Perry,31750,10/23/18
2014,Pickett,35510,10/23/18
2014,Polk,39434,10/23/18
2014,Putnam,34780,10/23/18
2014,Rhea,37512,10/23/18
2014,Roane,41726,10/23/18
2014,Robertson,53748,10/23/18
2014,Rutherford,55096,10/23/18
2014,Scott,30206,10/23/18
2014,Sequatchie,42182,10/23/18
2014,Sevier,42499,10/23/18
2014,Shelby,46213,10/23/18
2014,Smith,43988,10/23/18
2014,Stewart,41089,10/23/18
2014,Sullivan,39577,10/23/18
2014,Sumner,56193,10/23/18
2014,Tennessee,44621,10/23/18
2014,Tipton,53133,10/23/18
2014,Trousdale,37211,10/23/18
2014,Unicoi,34346,10/23/18
2014,Union,36009,10/23/18
2014,VanBuren,34250,10/23/18
2014,Warren,34592,10/23/18
2014,Washington,42935,10/23/18
2014,Wayne,31225,10/23/18
2014,Weakley,35845,10/23/18
2014,White,33933,10/23/18
2014,Williamson,91743,10/23/18
2014,Wilson,60095,10/23/18
2015,Anderson,42880,10/23/18
2015,Bedford,41984,10/23/18
2015,Benton,33240,10/23/18
2015,Bledsoe,37013,10/23/18
2015,Blount,48286,10/23/18
2015,Bradley,42114,10/23/18
2015,Campbell,32028,10/23/18
2015,Cannon,41533,10/23/18
2015,Carroll,35508,10/23/18
2015,Carter,33213,10/23/18
2015,Cheatham,51857,10/23/18
2015,Chester,40167,10/23/18
2015,Claiborne,34899,10/23/18
2015,Clay,28804,10/23/18
2015,Cocke,31187,10/23/18
2015,Coffee,41590,10/23/18
2015,Crockett,35464,10/23/18
2015,Cumberland,38576,10/23/18
2015,Davidson,48368,10/23/18
2015,Decatur,37263,10/23/18
2015,DeKalb,38319,10/23/18
2015,Dickson,44680,10/23/18
2015,Dyer,42468,10/23/18
2015,Fayette,54890,10/23/18
2015,Fentress,30259,10/23/18
2015,Franklin,42773,10/23/18
2015,Gibson,38457,10/23/18
2015,Giles,41093,10/23/18
2015,Grainger,35391,10/23/18
2015,Greene,35196,10/23/18
2015,Grundy,27373,10/23/18
2015,Hamblen,37617,10/23/18
2015,Hamilton,48248,10/23/18
2015,Hancock,26898,10/23/18
2015,Hardeman,31801,10/23/18
2015,Hardin,35290,10/23/18
2015,Hawkins,36927,10/23/18
2015,Haywood,34182,10/23/18
2015,Henderson,38745,10/23/18
2015,Henry,38234,10/23/18
2015,Hickman,36334,10/23/18
2015,Houston,39401,10/23/18
2015,Humphreys,41949,10/23/18
2015,Jackson,31534,10/23/18
2015,Jefferson,42417,10/23/18
2015,Johnson,30763,10/23/18
