LocationType,Location,TimeFrame,DataFormat,Data
State,Tennessee,1997,Currency,22814.00
State,Tennessee,1998,Currency,24101.00
State,Tennessee,1999,Currency,25014.00
State,Tennessee,2000,Currency,26290.00
State,Tennessee,2001,Currency,26808.00
State,Tennessee,2002,Currency,27611.00
State,Tennessee,2003,Currency,28440.00
State,Tennessee,2004,Currency,29844.00
State,Tennessee,2005,Currency,30969.00
State,Tennessee,2006,Currency,32172.00
State,Tennessee,2007,Currency,33395.00
State,Tennessee,2008,Currency,34833.00
State,Tennessee,2009,Currency,34277.00
State,Tennessee,2010,Currency,34921.00
State,Tennessee,2011,Currency,37109.68
State,Tennessee,2012,Currency,38752.24
State,Tennessee,2013,Currency,39558.00
State,Tennessee,2014,Currency,40457.00
State,Tennessee,2015,Currency,42094.00
State,Tennessee,2016,Currency,43326.00
State,Tennessee,2017,Currency,45517.00
State,Tennessee,2018,Currency,46900.00
State,Tennessee,2021,Currency,56560.00
State,Tennessee,2019,Currency,49343.00
State,Tennessee,2020,Currency,52351.00
County,Anderson,1997,Currency,23392.00
County,Anderson,1998,Currency,24500.00
County,Anderson,1999,Currency,24994.00
County,Anderson,2000,Currency,26473.00
County,Anderson,2001,Currency,27194.00
County,Anderson,2002,Currency,27100.00
County,Anderson,2003,Currency,27664.00
County,Anderson,2004,Currency,29641.00
County,Anderson,2005,Currency,29007.00
County,Anderson,2006,Currency,30218.00
County,Anderson,2007,Currency,31077.00
County,Anderson,2008,Currency,33367.00
County,Anderson,2009,Currency,33851.00
County,Anderson,2010,Currency,34358.00
County,Anderson,2011,Currency,37345.91
County,Anderson,2012,Currency,38565.57
County,Anderson,2013,Currency,39148.00
County,Anderson,2014,Currency,40361.00
County,Anderson,2015,Currency,38637.00
County,Anderson,2016,Currency,39225.00
County,Anderson,2017,Currency,40847.00
County,Anderson,2018,Currency,41853.00
County,Anderson,2021,Currency,50901.00
County,Anderson,2019,Currency,44090.00
County,Anderson,2020,Currency,47198.00
County,Bedford,1997,Currency,19107.00
County,Bedford,1998,Currency,20063.00
County,Bedford,1999,Currency,20593.00
County,Bedford,2000,Currency,21470.00
County,Bedford,2001,Currency,21994.00
County,Bedford,2002,Currency,23635.00
County,Bedford,2003,Currency,24832.00
County,Bedford,2004,Currency,25791.00
County,Bedford,2005,Currency,26780.00
County,Bedford,2006,Currency,27783.00
County,Bedford,2007,Currency,28281.00
County,Bedford,2008,Currency,28642.00
County,Bedford,2009,Currency,28256.00
County,Bedford,2010,Currency,29667.00
County,Bedford,2011,Currency,31699.43
County,Bedford,2012,Currency,33021.24
County,Bedford,2013,Currency,34315.00
County,Bedford,2014,Currency,32969.00
County,Bedford,2015,Currency,34618.00
County,Bedford,2016,Currency,34069.00
County,Bedford,2017,Currency,36427.00
County,Bedford,2018,Currency,37266.00
County,Bedford,2021,Currency,46083.00
County,Bedford,2019,Currency,39243.00
County,Bedford,2020,Currency,41608.00
County,Benton,1997,Currency,18314.00
County,Benton,1998,Currency,18592.00
County,Benton,1999,Currency,19323.00
County,Benton,2000,Currency,20675.00
County,Benton,2001,Currency,19994.00
County,Benton,2002,Currency,20470.00
County,Benton,2003,Currency,20226.00
County,Benton,2004,Currency,20696.00
County,Benton,2005,Currency,21811.00
County,Benton,2006,Currency,23049.00
County,Benton,2007,Currency,23737.00
County,Benton,2008,Currency,25359.00
County,Benton,2009,Currency,26247.00
County,Benton,2010,Currency,27129.00
County,Benton,2011,Currency,29291.25
County,Benton,2012,Currency,30524.37
County,Benton,2013,Currency,30800.00
County,Benton,2014,Currency,32659.00
County,Benton,2015,Currency,33443.00
County,Benton,2016,Currency,34013.00
County,Benton,2017,Currency,33164.00
County,Benton,2018,Currency,33661.00
County,Benton,2021,Currency,40963.00
County,Benton,2019,Currency,35071.00
County,Benton,2020,Currency,38021.00
County,Bledsoe,1997,Currency,15153.00
County,Bledsoe,1998,Currency,16185.00
County,Bledsoe,1999,Currency,16697.00
County,Bledsoe,2000,Currency,16780.00
County,Bledsoe,2001,Currency,17361.00
County,Bledsoe,2002,Currency,19262.00
County,Bledsoe,2003,Currency,19842.00
County,Bledsoe,2004,Currency,20827.00
County,Bledsoe,2005,Currency,21481.00
County,Bledsoe,2006,Currency,22510.00
County,Bledsoe,2007,Currency,23849.00
County,Bledsoe,2008,Currency,22849.00
County,Bledsoe,2009,Currency,22806.00
County,Bledsoe,2010,Currency,23666.00
County,Bledsoe,2011,Currency,25423.60
County,Bledsoe,2012,Currency,26380.96
County,Bledsoe,2013,Currency,27162.00
County,Bledsoe,2014,Currency,21432.00
County,Bledsoe,2015,Currency,20719.00
County,Bledsoe,2016,Currency,20353.00
County,Bledsoe,2017,Currency,25705.00
County,Bledsoe,2018,Currency,26281.00
County,Bledsoe,2021,Currency,33675.00
County,Bledsoe,2019,Currency,28598.00
County,Bledsoe,2020,Currency,30830.00
County,Blount,1997,Currency,21284.00
County,Blount,1998,Currency,22738.00
County,Blount,1999,Currency,23794.00
County,Blount,2000,Currency,25149.00
County,Blount,2001,Currency,25370.00
County,Blount,2002,Currency,25353.00
County,Blount,2003,Currency,26224.00
County,Blount,2004,Currency,26515.00
County,Blount,2005,Currency,27337.00
County,Blount,2006,Currency,28385.00
County,Blount,2007,Currency,29325.00
County,Blount,2008,Currency,31109.00
County,Blount,2009,Currency,30362.00
County,Blount,2010,Currency,29365.00
County,Blount,2011,Currency,33181.39
County,Blount,2012,Currency,34292.69
County,Blount,2013,Currency,35310.00
County,Blount,2014,Currency,37085.00
County,Blount,2015,Currency,37900.00
County,Blount,2016,Currency,39226.00
County,Blount,2017,Currency,41224.00
County,Blount,2018,Currency,42991.00
County,Blount,2021,Currency,52596.00
County,Blount,2019,Currency,45860.00
County,Blount,2020,Currency,49002.00
County,Bradley,1997,Currency,22078.00
County,Bradley,1998,Currency,22766.00
County,Bradley,1999,Currency,23642.00
County,Bradley,2000,Currency,24243.00
County,Bradley,2001,Currency,25243.00
County,Bradley,2002,Currency,25733.00
County,Bradley,2003,Currency,25955.00
County,Bradley,2004,Currency,27232.00
County,Bradley,2005,Currency,28400.00
County,Bradley,2006,Currency,28280.00
County,Bradley,2007,Currency,29380.00
County,Bradley,2008,Currency,30464.00
County,Bradley,2009,Currency,30335.00
County,Bradley,2010,Currency,30030.00
County,Bradley,2011,Currency,32357.72
County,Bradley,2012,Currency,33957.90
County,Bradley,2013,Currency,35791.00
County,Bradley,2014,Currency,39715.00
County,Bradley,2015,Currency,37216.00
County,Bradley,2016,Currency,37941.00
County,Bradley,2017,Currency,38766.00
County,Bradley,2018,Currency,39099.00
County,Bradley,2021,Currency,46409.00
County,Bradley,2019,Currency,40228.00
County,Bradley,2020,Currency,43319.00
County,Campbell,1997,Currency,15451.00
County,Campbell,1998,Currency,16070.00
County,Campbell,1999,Currency,16427.00
County,Campbell,2000,Currency,17182.00
County,Campbell,2001,Currency,17653.00
County,Campbell,2002,Currency,20409.00
County,Campbell,2003,Currency,20575.00
County,Campbell,2004,Currency,21825.00
County,Campbell,2005,Currency,23179.00
County,Campbell,2006,Currency,23356.00
County,Campbell,2007,Currency,24706.00
County,Campbell,2008,Currency,26223.00
County,Campbell,2009,Currency,26174.00
County,Campbell,2010,Currency,27236.00
County,Campbell,2011,Currency,28242.47
County,Campbell,2012,Currency,29538.10
County,Campbell,2013,Currency,30734.00
County,Campbell,2014,Currency,30473.00
County,Campbell,2015,Currency,30981.00
County,Campbell,2016,Currency,32077.00
County,Campbell,2017,Currency,33042.00
County,Campbell,2018,Currency,33967.00
County,Campbell,2021,Currency,42471.00
County,Campbell,2019,Currency,35824.00
County,Campbell,2020,Currency,38706.00
County,Cannon,1997,Currency,18373.00
County,Cannon,1998,Currency,19336.00
County,Cannon,1999,Currency,20452.00
County,Cannon,2000,Currency,21590.00
County,Cannon,2001,Currency,22190.00
County,Cannon,2002,Currency,23924.00
County,Cannon,2003,Currency,25242.00
County,Cannon,2004,Currency,25176.00
County,Cannon,2005,Currency,26465.00
County,Cannon,2006,Currency,27596.00
County,Cannon,2007,Currency,27942.00
County,Cannon,2008,Currency,29411.00
County,Cannon,2009,Currency,28708.00
County,Cannon,2010,Currency,29927.00
County,Cannon,2011,Currency,30053.05
County,Cannon,2012,Currency,31584.06
County,Cannon,2013,Currency,32501.00
County,Cannon,2014,Currency,34218.00
County,Cannon,2015,Currency,33416.00
County,Cannon,2016,Currency,33597.00
County,Cannon,2017,Currency,35489.00
County,Cannon,2018,Currency,36113.00
County,Cannon,2021,Currency,44419.00
County,Cannon,2019,Currency,37663.00
County,Cannon,2020,Currency,40263.00
County,Carroll,1997,Currency,19229.00
County,Carroll,1998,Currency,19923.00
County,Carroll,1999,Currency,20283.00
County,Carroll,2000,Currency,21658.00
County,Carroll,2001,Currency,21038.00
County,Carroll,2002,Currency,22231.00
County,Carroll,2003,Currency,22542.00
County,Carroll,2004,Currency,22430.00
County,Carroll,2005,Currency,24187.00
County,Carroll,2006,Currency,25466.00
County,Carroll,2007,Currency,25825.00
County,Carroll,2008,Currency,28902.00
County,Carroll,2009,Currency,28216.00
