,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tennessee,"6,346,105","6,346,276","6,355,311","6,399,291","6,453,898","6,494,340","6,541,223","6,591,170","6,646,010","6,708,799","6,771,631","6,829,174"
Anderson,"75,129","75,082","75,098","75,209","75,225","75,299","75,157","75,456","75,528","76,056","76,287","76,978"
Bedford,"45,058","45,057","45,078","45,247","45,254","45,565","46,251","46,948","47,442","48,211","49,146","49,713"
Benton,"16,489","16,491","16,511","16,529","16,445","16,360","16,197","16,220","16,082","15,993","16,246","16,160"
Bledsoe,"12,876","12,874","12,884","12,992","12,926","13,910","14,501","14,601","14,738","14,895","14,883","15,064"
Blount,"123,010","123,098","123,199","123,664","124,024","124,874","125,847","126,954","128,264","129,999","131,331","133,088"
Bradley,"98,963","98,926","99,083","99,798","101,049","101,778","102,771","103,774","104,390","105,421","107,050","108,110"
Campbell,"40,716","40,723","40,735","40,688","40,532","40,247","39,893","39,772","39,784","39,791","39,795","39,842"
Cannon,"13,801","13,813","13,797","13,724","13,789","13,700","13,572","13,740","13,876","14,157","14,440","14,678"
Carroll,"28,522","28,486","28,454","28,547","28,667","28,606","28,411","27,982","27,901","27,807","27,975","27,767"
Carter,"57,424","57,383","57,342","57,385","57,347","56,978","56,325","56,375","56,473","56,510","56,417","56,391"
Cheatham,"39,105","39,110","39,131","38,986","39,231","39,340","39,610","39,593","39,775","40,366","40,502","40,667"
Chester,"17,131","17,145","17,194","17,150","17,076","17,116","17,136","17,123","17,130","17,154","17,245","17,297"
Claiborne,"32,213","32,212","32,215","32,106","31,763","31,627","31,571","31,555","31,634","31,661","31,850","31,959"
Clay,"7,861","7,853","7,844","7,741","7,702","7,688","7,620","7,663","7,654","7,663","7,677","7,615"
Cocke,"35,662","35,642","35,640","35,432","35,530","35,400","35,266","35,138","35,234","35,528","35,858","36,004"
Coffee,"52,796","52,803","52,770","52,920","53,147","53,298","53,524","54,093","54,537","55,016","55,877","56,520"
Crockett,"14,586","14,576","14,588","14,560","14,610","14,610","14,652","14,586","14,448","14,436","14,296","14,230"
Cumberland,"56,053","56,060","56,193","56,527","56,990","57,438","57,924","58,217","58,580","59,023","59,738","60,520"
Davidson,"626,681","626,558","627,746","635,918","649,344","660,179","669,611","679,793","685,829","687,159","690,516","694,144"
Decatur,"11,757","11,750","11,717","11,682","11,634","11,696","11,685","11,600","11,735","11,732","11,699","11,663"
DeKalb,"18,723","18,722","18,695","18,754","18,869","19,150","19,227","19,292","19,444","19,876","20,133","20,490"
Dickson,"49,666","49,650","49,684","49,982","50,214","50,164","50,465","51,334","51,900","52,774","53,446","53,948"
Dyer,"38,335","38,330","38,318","38,118","38,188","38,093","37,807","37,753","37,542","37,339","37,286","37,159"
Fayette,"38,413","38,439","38,427","38,570","38,686","38,812","39,123","39,280","39,703","40,150","40,556","41,133"
Fentress,"17,959","17,962","17,923","17,997","17,916","17,904","17,849","17,965","18,040","18,214","18,322","18,523"
Franklin,"41,052","41,064","40,959","40,857","40,688","41,213","41,288","41,343","41,518","41,623","41,935","42,208"
Gibson,"49,683","49,687","49,731","49,898","49,666","49,380","49,436","49,329","49,250","49,255","49,171","49,133"
Giles,"29,485","29,476","29,406","29,284","28,969","28,801","28,819","28,973","29,165","29,379","29,446","29,464"
Grainger,"22,657","22,656","22,721","22,753","22,689","22,739","22,862","22,848","23,095","23,106","23,137","23,320"
Greene,"68,831","68,825","68,834","69,173","68,760","68,336","68,464","68,586","68,529","68,821","69,164","69,069"
Grundy,"13,703","13,726","13,725","13,588","13,583","13,449","13,340","13,337","13,276","13,332","13,348","13,427"
Hamblen,"62,544","62,534","62,510","62,899","62,764","63,051","63,010","63,353","63,681","64,062","64,629","64,934"
Hamilton,"336,463","336,477","337,214","341,094","345,693","349,050","350,729","353,690","357,778","361,032","364,293","367,804"
Hancock,"6,819","6,811","6,798","6,708","6,657","6,621","6,619","6,577","6,583","6,593","6,561","6,620"
Hardeman,"27,253","27,245","27,169","26,869","26,612","26,360","25,989","25,817","25,584","25,488","25,276","25,050"
Hardin,"26,026","26,008","26,050","25,869","25,962","25,925","25,801","25,754","25,740","25,738","25,693","25,652"
Hawkins,"56,833","56,826","56,870","56,621","56,560","56,696","56,481","56,370","56,565","56,620","56,713","56,786"
Haywood,"18,787","18,807","18,812","18,546","18,276","18,234","18,235","18,036","17,822","17,607","17,347","17,304"
Henderson,"27,769","27,780","27,788","28,039","28,082","28,042","28,093","28,078","27,855","27,851","27,983","28,117"
Henry,"32,330","32,349","32,398","32,440","32,377","32,250","32,245","32,127","32,232","32,380","32,336","32,345"
Hickman,"24,690","24,690","24,647","24,364","24,192","24,207","24,465","24,373","24,666","24,839","25,007","25,178"
Houston,"8,426","8,429","8,451","8,347","8,424","8,276","8,221","8,124","8,101","8,158","8,234","8,201"
Humphreys,"18,538","18,535","18,558","18,403","18,287","18,244","18,147","18,157","18,383","18,503","18,551","18,582"
Jackson,"11,638","11,634","11,625","11,558","11,595","11,561","11,524","11,534","11,611","11,702","11,777","11,786"
Jefferson,"51,407","51,668","51,714","51,908","52,300","52,134","52,408","53,011","53,148","53,730","54,012","54,495"
Johnson,"18,244","18,240","18,286","18,223","18,159","18,014","17,935","17,842","17,759","17,603","17,774","17,788"
Knox,"432,226","432,260","432,938","436,776","440,791","444,314","447,903","451,297","456,089","461,565","466,258","470,313"
Lake,"7,832","7,832","7,827","7,793","7,715","7,713","7,680","7,602","7,531","7,451","7,407","7,016"
Lauderdale,"27,815","27,822","27,721","27,701","27,694","27,573","27,357","26,903","25,320","26,093","25,997","25,633"
Lawrence,"41,869","41,856","41,967","42,162","42,154","42,028","42,304","42,592","43,056","43,388","43,771","44,142"
Lewis,"12,161","12,170","12,173","12,146","11,942","11,994","11,886","11,875","11,891","12,025","12,074","12,268"
Lincoln,"33,361","33,354","33,382","33,387","33,379","33,499","33,443","33,609","33,564","33,892","34,189","34,366"
Loudon,"48,556","48,561","48,710","49,188","49,823","50,386","50,586","50,916","51,373","52,260","53,082","54,068"
McMinn,"52,266","52,287","52,176","52,335","52,441","52,431","52,675","52,502","52,700","52,931","53,336","53,794"
McNairy,"26,075","26,082","26,066","26,077","26,142","26,035","26,032","25,864","25,832","26,001","25,830","25,694"
Macon,"22,248","22,226","22,237","22,455","22,488","22,637","22,919","23,076","23,340","23,905","24,289","24,602"
Madison,"98,294","98,303","98,249","98,084","98,505","98,730","98,134","97,569","97,478","97,491","97,603","97,984"
Marion,"28,237","28,222","28,220","28,099","28,226","28,326","28,405","28,397","28,383","28,406","28,598","28,907"
Marshall,"30,617","30,611","30,687","30,848","30,971","31,140","31,287","31,590","32,035","33,020","33,806","34,375"
Maury,"80,956","80,932","81,172","81,528","82,054","83,618","85,384","87,425","89,556","92,237","94,273","96,387"
Meigs,"11,753","11,766","11,792","11,687","11,668","11,659","11,703","11,804","11,953","12,042","12,297","12,422"
Monroe,"44,519","44,498","44,610","44,903","45,095","45,228","45,391","45,625","45,848","46,035","46,269","46,545"
Montgomery,"172,331","172,362","173,159","176,504","184,782","184,252","189,005","192,398","194,424","199,771","205,312","208,993"
Moore,"6,362","6,342","6,330","6,367","6,289","6,274","6,285","6,261","6,293","6,391","6,457","6,488"
Morgan,"21,987","21,986","22,019","21,998","21,892","21,673","21,699","21,494","21,741","21,555","21,534","21,403"
